clean_text_PhoBERT,true_sentiment,pred_sentiment,true_topic,pred_topic
nói tiếng anh lưu_loát .,Tích cực,Trung tính,Giảng viên,Khác
cô max có tâm .,Tích cực,Tích cực,Giảng viên,Khác
"giảng bài thu_hút , dí_dỏm .",Tích cực,Tích cực,Giảng viên,Chương trình
tính điểm thi_đua các nhóm .,Tích cực,Trung tính,Chương trình,Chương trình
trong trường macbook thầy_số hai thì không có máy nào số_một .,Tích cực,Tiêu cực,Khác,Cơ sở vật chất
sinh_viên không tiếp_thu kịp cũng như không hiểu gì .,Tiêu cực,Tiêu cực,Chương trình,Khác
cung_cấp kiến_thức bổ_ích .,Tích cực,Tích cực,Giảng viên,Chương trình
bắt_đầu buổi học đúng giờ .,Tích cực,Trung tính,Giảng viên,Chương trình
nên đưa ra một_vài phương_pháp học lập_trình hay cho sinh_viên .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cách mà cô tiếp_cận với sinh_viên .,Trung tính,Tích cực,Giảng viên,Giảng viên
thầy dạy rất nhiệt_tình và giảng kỹ bài không cần cải_thiện gì cả .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
giữa lý_thuyết từ_vựng với trò_chơi để dễ tiếp_thu .,Tiêu cực,Tích cực,Chương trình,Chương trình
môn_học này giúp chúng_em hiểu ra những vấn_đề cơ_bản .,Trung tính,Tích cực,Chương trình,Chương trình
cung_cấp bài_tập đa_dạng .,Tích cực,Tích cực,Giảng viên,Chương trình
hay gõ micro vào bảng hoặc bàn .,Tiêu cực,Tiêu cực,Giảng viên,Cơ sở vật chất
"cô đại_học công_nghiệp việt_trì tính , học không áp_lực .",Tích cực,Tích cực,Chương trình,Giảng viên
phần_lớn chỉ là lý_thuyết và bài_tập .,Tích cực,Tiêu cực,Chương trình,Chương trình
"cô nhiệt_tình , giảng bài hiệu_quả .",Tích cực,Tích cực,Chương trình,Giảng viên
"khi nghỉ học , cần thông_báo kịp_thời trên web của khoa wzjwz148 .",Tiêu cực,Tiêu cực,Giảng viên,Khác
không biết được chính_xác bao_giờ học thật để đi học .,Tiêu cực,Trung tính,Chương trình,Khác
như_vậy tụi em sẽ định_hướng tốt hơn và tập_trung vào những thứ cần_thiết .,Trung tính,Tiêu cực,Chương trình,Khác
"sử_dụng thời_gian không hiệu_quả , đi quá muộn và về quá trễ ( 8 h30 vào lớp 12 h về ) .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"ấn_tượng nhất doubledot dạy không cần máy_chiếu hay laptop , nhưng lượng bài giảng có_thể nói là "" khủng "" , nhìn thầy ghi bài giảng lên bảng mà bất_ngờ .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
đưa nhiều bài_tập khó mà có lời_giải cho sinh_viên về nhà_nghiên_cứu .,Tích cực,Tiêu cực,Giảng viên,Chương trình
giảng_viên cho bài_tập nhiều đầy_đủ .,Tích cực,Trung tính,Giảng viên,Giảng viên
up các bài giảng đầy_đủ .,Tích cực,Trung tính,Giảng viên,Giảng viên
rất thực_tế không dài_dòng .,Tích cực,Tiêu cực,Khác,Khác
"thêm hoạt_động của sinh_viên , giúp sinh_viên chủ_động hơn .",Tiêu cực,Tích cực,Chương trình,Giảng viên
tính thực_tế cũng cao so với việc thi lý_thuyết lấy điểm .,Tích cực,Tiêu cực,Chương trình,Chương trình
"giảng_viên đảm_bảo thời_gian trên lớp , tạo điều_kiện trong quá_trình thực_hành và thi thực_hành .",Tích cực,Tích cực,Giảng viên,Chương trình
"slide thầy chiếu lên màn chiếu doubledot dày_đặc chữ , nhìn không rõ_ràng .",Tiêu cực,Tiêu cực,Chương trình,Cơ sở vật chất
giảng bài xúc tích .,Tích cực,Trung tính,Giảng viên,Chương trình
có up bài cho sinh_viên làm thêm bài_tập .,Tích cực,Trung tính,Giảng viên,Chương trình
em không thích như_vậy tí_xíu nào .,Tiêu cực,Trung tính,Giảng viên,Khác
"thầy dạy đường_lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch_sử qua tuyệt_vời , có_thể nói nếu tất_cả các môn chính_trị nào cũng có thầy dạy thì chắc em lên trình chính_trị nhiều lắm ạ .",Tích cực,Trung tính,Giảng viên,Giảng viên
thời_gian các bạn lên làm bài_tập thì thầy nên giảng cho các sinh_viên khác chưa làm được .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
không slide .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"năng_động , cập_nhật kiến_thức thêm những kiến_thức thực_tế và bổ_ích .",Tích cực,Tích cực,Giảng viên,Chương trình
cách dạy đổi_mới .,Tích cực,Trung tính,Giảng viên,Giảng viên
học thì quá ít nhưng khi thi thì quá nhiều yêu_cầu viết code trong đề thi thì sao mà sinh_viên có_thể làm được .,Tiêu cực,Tiêu cực,Khác,Chương trình
không thật_sự dạy .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
bài giảng hay và dễ hiểu .,Tích cực,Tích cực,Chương trình,Giảng viên
đồ_án phần bắt_buộc chỉ chiếm 1 dot5 điểm và chỉ biết sau khi đã nộp .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
nên cho sinh_viên slide để học .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
thêm nhiều bài_tập thiết_thực hơn .,Tiêu cực,Trung tính,Chương trình,Chương trình
phương_pháp học áp_dụng thực_tiễn .,Tích cực,Tích cực,Giảng viên,Chương trình
"ví_dụ phù_hợp với nội_dung kiến_thức , hướng_dẫn chi_tiết .",Trung tính,Tích cực,Chương trình,Chương trình
cần có nhiều giảng_viên như cô dạy hơn .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
ít cho bài_tập .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
có nhiều thầy_cô đến lớp không đúng giờ .,Tiêu cực,Trung tính,Cơ sở vật chất,Giảng viên
chúng_em rất khó nắm kiến_thức khi chỉ nghe các buổi seminar .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
chứ không_chỉ cách viết một đoạn code mới học từ lý_thuyết .,Tiêu cực,Tiêu cực,Chương trình,Khác
"chia nhỏ điểm ra , mỗi buổi 1 bài lab , nộp bài lab để lấy điểm .",Tiêu cực,Trung tính,Chương trình,Chương trình
em rất hài_lòng về phương_pháp giảng_dạy này .,Tích cực,Tích cực,Giảng viên,Khác
"nhiệt_tình , dễ nghe , dễ hiểu .",Tích cực,Tích cực,Giảng viên,Khác
đề_cập nhiều thông_tin mở_rộng ngoài xã_hội .,Tích cực,Tích cực,Giảng viên,Chương trình
rất hài_lòng nên không có gì không hài_lòng .,Tích cực,Tiêu cực,Khác,Khác
giáo_viên hầu_như chỉ dạy qua_loa cho có .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
"gây_mê , hay mắng và rất dễ hờn coloncontemn .",Tiêu cực,Tích cực,Giảng viên,Khác
