clean_text_PhoBERT,topic_label,pred_topic_label
trong trường macbook thầy_số hai thì không có máy nào số_một .,Khác,Cơ sở vật chất
nên đưa ra một_vài phương_pháp học lập_trình hay cho sinh_viên .,Giảng viên,Chương trình
"cô đại_học công_nghiệp việt_trì tính , học không áp_lực .",Chương trình,Giảng viên
"cô nhiệt_tình , giảng bài hiệu_quả .",Chương trình,Giảng viên
"khi nghỉ học , cần thông_báo kịp_thời trên web của khoa wzjwz148 .",Giảng viên,Khác
không biết được chính_xác bao_giờ học thật để đi học .,Chương trình,Khác
như_vậy tụi em sẽ định_hướng tốt hơn và tập_trung vào những thứ cần_thiết .,Chương trình,Khác
"ấn_tượng nhất doubledot dạy không cần máy_chiếu hay laptop , nhưng lượng bài giảng có_thể nói là "" khủng "" , nhìn thầy ghi bài giảng lên bảng mà bất_ngờ .",Giảng viên,Cơ sở vật chất
rất thực_tế không dài_dòng .,Khác,Giảng viên
em không thích như_vậy tí_xíu nào .,Giảng viên,Khác
thời_gian các bạn lên làm bài_tập thì thầy nên giảng cho các sinh_viên khác chưa làm được .,Chương trình,Giảng viên
không slide .,Giảng viên,Chương trình
học thì quá ít nhưng khi thi thì quá nhiều yêu_cầu viết code trong đề thi thì sao mà sinh_viên có_thể làm được .,Khác,Chương trình
đồ_án phần bắt_buộc chỉ chiếm 1 dot5 điểm và chỉ biết sau khi đã nộp .,Giảng viên,Chương trình
nên cho sinh_viên slide để học .,Giảng viên,Chương trình
sự nhiệt_tình tận_tâm .,Khác,Giảng viên
có nhiều thầy_cô đến lớp không đúng giờ .,Cơ sở vật chất,Giảng viên
đôi_lúc sinh_viên theo không kịp .,Khác,Giảng viên
chúng_em rất khó nắm kiến_thức khi chỉ nghe các buổi seminar .,Giảng viên,Chương trình
"em nghĩ chỉ cần thi là đủ , chứ em đi học mấy lần , mà thấy thầy có dạy gì đâu .",Chương trình,Giảng viên
đề_cập nhiều thông_tin mở_rộng ngoài xã_hội .,Giảng viên,Chương trình
các buổi ngoại_khoá nên được mở .,Khác,Chương trình
"do trình_độ tiếng anh của lớp không cao chỉ một số_ít có khả_năng nghe , đọc , và hiểu được bài giảng của thấy nên hiệu_quả của việc giảng_dạy bằng tiếng anh là chưa cao .",Giảng viên,Chương trình
sử_dụng quá nhiều tiếng anh để giảng bài trong khi sinh_viên ngồi dưới chẳng hiểu là bao_nhiêu .,Chương trình,Giảng viên
tâm_lý .,Khác,Giảng viên
"chưa học kiểm_thử , bắt làm test thì sao mà làm ?",Giảng viên,Chương trình
nâng cao chất_lượng giảng_viên và trang_thiết_bị hỗ_trợ .,Giảng viên,Cơ sở vật chất
nó thật_sự ảnh_hưởng quá nhiều đến chất_lượng học môn này của em .,Giảng viên,Chương trình
nếu có hướng_dẫn cũng là lý_thuyết suông khó áp_dụng .,Chương trình,Giảng viên
kinh mong nhà_trường làm rõ việc này và đảm_bảo công_bằng cho sinh_viên !,Chương trình,Khác
em mong là có phần khảo_sát môn_học ở giữa kỳ chứ cuối kỳ thì môn_học đã qua đi rồi .,Khác,Chương trình
tiến_độ dạy hơi nhanh .,Chương trình,Giảng viên
cách diễn_đạt đôi_lúc còn khó hiểu .,Chương trình,Giảng viên
cần cho thêm nhiều bài_tập kết_hợp hướng_dẫn để sinh_viên tham_khảo .,Giảng viên,Chương trình
phải làm bảng đánh_giá kỹ_lưỡng về việc học nhóm ngoài giờ học làm tụi em cảm_thấy không thoải_mái khi học nhóm .,Giảng viên,Chương trình
không công_bằng trong việc điểm_danh .,Chương trình,Giảng viên
không nên để thầy này tiếp_tục dạy mạng máy_tính nữa .,Giảng viên,Chương trình
kỹ những chương cuối .,Khác,Giảng viên
ít demo .,Giảng viên,Chương trình
"không nên "" mồi "" sinh_viên làm bài_tập bằng điểm .",Chương trình,Giảng viên
"không nên nói doubledot "" slide này không phải của tui , nên tui cũng không biết nó nói cái gì "" gây khó_chịu cho sinh_viên khi học .",Giảng viên,Chương trình
học được nhiều kỹ_năng .,Giảng viên,Khác
chương_trình học thú_vị .,Giảng viên,Chương trình
đáp áp cụ_thể cho bài_tập cũng không có .,Chương trình,Giảng viên
thuyết_trình thường_xuyên .,Chương trình,Giảng viên
"thời_gian hợp_lý , thái_độ thoải_mái .",Chương trình,Giảng viên
trên lớp cho ít ví_dụ mở_rộng nên chưa hiểu sâu .,Giảng viên,Chương trình
nhưng nguyên_nhân chán có_lẽ vì không hiểu được mục_đích môn_học sau khi học xong nên không muốn học .,Chương trình,Khác
không điểm_danh .,Giảng viên,Chương trình
đi muộn .,Giảng viên,Khác
cần up nhiều tài_liệu hơn lên course .,Giảng viên,Chương trình
cám_ơn cô đã dạy lớp em .,Khác,Giảng viên
đó là ý_kiến cá_nhân của em về giảng_viên môn anh văn 2 này .,Khác,Giảng viên
chưa sâu về nội_dung .,Chương trình,Giảng viên
giúp sinh_viên hoàn_thiện các kỹ_năng trong việc học_tập .,Chương trình,Giảng viên
cụ_thể doubledot về việc hướng_dẫn bài_tập về nội_dung đó .,Giảng viên,Chương trình
cách tính điểm cộng của giáo_viên có điểm quá_trình .,Giảng viên,Chương trình
nhiều bài thuyết_trình .,Chương trình,Giảng viên
"đề cuối kỳ ra khá dở , trong khi java có nhiều cái hay thì không ra .",Giảng viên,Chương trình
cần cung_cấp hướng_dẫn thực_hành .,Chương trình,Giảng viên
"chấm bài theo hệ_thống hay báo lỗi , không được sáng_tạo theo lối nghĩ riêng .",Chương trình,Giảng viên
không hiểu học ra để áp_dụng vào cái gì .,Khác,Chương trình
nửa học_kỳ không có giáo_viên hướng_dẫn thực_hành .,Giảng viên,Chương trình
để sinh_viên thực_hành nhiều hơn .,Cơ sở vật chất,Chương trình
dứt_khoát .,Khác,Giảng viên
"không_khí lớp_học không được sôi_động , năng_nổ .",Chương trình,Giảng viên
sáng_tạo trong giảng_dạy .,Khác,Giảng viên
em mong giờ lên_lớp có những niềm đại_học công_nghiệp việt_trì hơn .,Khác,Giảng viên
"học xong môn này , em không có thêm một_chút kiến_thức nào về môn điện_tử cũng như cách vận_dụng những gì đã học vào thực_tế .",Giảng viên,Chương trình
đây là môn có thực_hành nhưng tới khi kết_thúc vẫn không thấy thực_hành đâu cả .,Giảng viên,Chương trình
"em là sinh_viên khó_khăn , phải vừa làm vừa học , nên thời_gian trống không được linh_hoạt .",Khác,Chương trình
có thời_gian để ngủ trên lớp .,Giảng viên,Khác
"mong các môn_học tới đề_cương môn_học và tài_liệu tham_khảo , cũng như sự tương_tác với sinh_viên của thầy sẽ được cải_thiện nhiều hơn .",Giảng viên,Chương trình
học được nhiều điều mới không nằm trong sách_vở .,Khác,Chương trình
"nhiều buổi học không có giảng_viên , khi liên_hệ phòng công_tác sinh_viên của trường thì không gặp .",Chương trình,Giảng viên
cho sinh_viên hiểu rõ về nội_dung môn_học .,Chương trình,Giảng viên
"thích nhất phần thuật_toán dijktra , vì phần này nhờ cấu_trúc rời_rạc nên thầy giảng thì em biết .",Giảng viên,Chương trình
rèn_luyện kỹ_năng làm bài_tập .,Giảng viên,Chương trình
học_sinh chưa thật_sự đạt được kiến_thức đầy_đủ .,Khác,Giảng viên
