clean_text_PhoBERT,sentiment_label,pred_sentiment_label
tính điểm thi_đua các nhóm .,Tích cực,Trung tính
trong trường macbook thầy_số hai thì không có máy nào số_một .,Tích cực,Tiêu cực
môn_học này giúp chúng_em hiểu ra những vấn_đề cơ_bản .,Trung tính,Tích cực
phần_lớn chỉ là lý_thuyết và bài_tập .,Tích cực,Tiêu cực
như_vậy tụi em sẽ định_hướng tốt hơn và tập_trung vào những thứ cần_thiết .,Trung tính,Tích cực
đưa nhiều bài_tập khó mà có lời_giải cho sinh_viên về nhà_nghiên_cứu .,Tích cực,Tiêu cực
cách dạy đổi_mới .,Tích cực,Tiêu cực
"ví_dụ phù_hợp với nội_dung kiến_thức , hướng_dẫn chi_tiết .",Trung tính,Tích cực
cần có nhiều giảng_viên như cô dạy hơn .,Tích cực,Tiêu cực
cô hoàng toàn không dùng courses hay các phương_tiện liên_lạc thông_báo .,Tích cực,Tiêu cực
"hay giải theo cách của mình , chưa giải_thích được nhiều thắc_mắc của sinh_viên .",Tích cực,Tiêu cực
""" các bạn có hiểu ý thầy wzjwz287 không ạ "" ( đáp lại thầy là sự im_lặng ) .",Tiêu cực,Trung tính
sinh_viên hiểu thầy mới cho về .,Tích cực,Trung tính
kỹ những chương cuối .,Trung tính,Tiêu cực
đặt nhiều câu hỏi trong lúc dạy .,Tích cực,Tiêu cực
cô cho em 10 điểm thực_hành colonlove .,Trung tính,Tích cực
"cô cho tài_liệu học_tập là một trang_web , lên đó tự học và làm đồ_án .",Tiêu cực,Trung tính
"học thầy từ đầu học_kỳ một đến tận hết học_kỳ , quả là không sai .",Tích cực,Trung tính
làm_việc nhóm .,Trung tính,Tích cực
thuyết_trình thường_xuyên .,Tiêu cực,Trung tính
làm bài giảng sinh_động .,Tiêu cực,Tích cực
có kết_hợp với bài_tập ví_dụ .,Trung tính,Tích cực
bài_tập đầy_đủ .,Trung tính,Tích cực
không điểm_danh .,Trung tính,Tiêu cực
bài giảng bằng tiếng anh giúp sinh_viên tiếp_cận ngoại_ngữ tốt hơn .,Tiêu cực,Tích cực
có cung_cấp tài_liệu cho sinh_viên .,Trung tính,Tích cực
em không hiểu .,Tiêu cực,Trung tính
ngoài_ra còn nhiều kiến_thức ngoài .,Trung tính,Tích cực
có demo trực_tiếp .,Trung tính,Tích cực
"giảng_viên cho bài_tập hay , khó .",Tích cực,Tiêu cực
nhiều bài thuyết_trình .,Trung tính,Tích cực
em nghĩ như_vậy sẽ tốt hơn vì họ sẽ biết được khả_năng của sinh_viên trong lớp tới đâu để cho bài thực_hành được phù_hợp với trình_độ của sinh_viên .,Trung tính,Tiêu cực
dạy kết_hợp với các hoạt_động liên_quan đến bài_học để sinh_viên dễ_dàng nắm và nhớ kiến_thức hơn .,Tiêu cực,Tích cực
thân_thiện và dễ tiếp_thu hơn .,Tiêu cực,Tích cực
"giảng_viên trẻ , nhiệt_huyết nhưng thiếu kinh_nghiệm , khuyến_khích sinh_viên thực_hành trên hackerrankdotcom .",Tích cực,Tiêu cực
dạy được .,Tích cực,Trung tính
dạy full english .,Tiêu cực,Tích cực
tính thực_tiễn của môn_học .,Trung tính,Tích cực
đảm_bảo cho sinh_viên không ngủ_gật .,Trung tính,Tích cực
nắng vào buổi sáng ở gần cửa_sổ .,Tiêu cực,Trung tính
em thấy thầy giảng hơi bị buồn_ngủ .,Tích cực,Tiêu cực
chúng_em đã nghỉ khoảng 4 tuần như_thế .,Trung tính,Tiêu cực
có thời_gian để ngủ trên lớp .,Trung tính,Tích cực
làm_sao có_thể tìm thấy điểm không hài_lòng được .,Tích cực,Tiêu cực
"giảng_viên truyền_đạt kiến_thức một_cách máy_móc , không có hiệu_quả , tạo không_gian học_tập áp_lực , chán_nản cho sinh_viên .",Tích cực,Tiêu cực
cho sinh_viên hiểu rõ về nội_dung môn_học .,Tiêu cực,Tích cực
"em có đi học ở một trung_tâm ngoài trường , tiền học_phí so với trường mình về số tiết là gần như tương_đương nhau nhưng chất_lượng học rất khác nhau , em được đảm_bảo giờ lên_lớp đúng , thực_hành nói , nghe mỗi buổi học .",Tiêu cực,Tích cực
thầy không có dạy .,Tiêu cực,Trung tính
"thích nhất phần thuật_toán dijktra , vì phần này nhờ cấu_trúc rời_rạc nên thầy giảng thì em biết .",Tích cực,Tiêu cực
"thầy có_vẻ hơi bận_rộn , gặp thầy có_vẻ khó .",Trung tính,Tiêu cực
em xin cám_ơn !,Tích cực,Trung tính
thực_hành chứa các kiến_thức chưa học lý_thuyết .,Tiêu cực,Trung tính
cần có nhiều giảng_viên có phương_pháp dạy như thầy wzjwz147 .,Tích cực,Tiêu cực
